pointid,deb thickness,Lat,Long,Easting,Northing,MF
1023,0.0299767,60.79889766,-138.6790573,23672.69361,6740466.429,2.2681601
1024,0.0383385,60.7988917,-138.67722,23772.69361,6740466.429,2.0530601
1025,0.0602177,60.79888571,-138.6753828,23872.69361,6740466.429,1.62857
1026,0.0716674,60.7988797,-138.6735455,23972.69361,6740466.429,1.46957
1027,0.123881,60.79887366,-138.6717083,24072.69361,6740466.429,1.01683
1028,0.203704,60.7988676,-138.669871,24172.69361,6740466.429,0.691262
1029,0.221883,60.79886151,-138.6680338,24272.69361,6740466.429,0.644284
1030,0.331522,60.7988554,-138.6661965,24372.69361,6740466.429,0.456975
1031,0.580922,60.79883691,-138.6606848,24672.69361,6740466.429,0.275068
1032,0.575118,60.7988307,-138.6588475,24772.69361,6740466.429,0.27764
1033,0.48336,60.79882446,-138.6570103,24872.69361,6740466.429,0.325801
1034,0.206669,60.7988182,-138.655173,24972.69361,6740466.429,0.68314
1035,0.109696,60.79881191,-138.6533358,25072.69361,6740466.429,1.10971
1036,0.0503047,60.7988056,-138.6514985,25172.69361,6740466.429,1.7969
1037,0.0489572,60.79879926,-138.6496613,25272.69361,6740466.429,1.82251
1038,0.0848685,60.79879289,-138.6478241,25372.69361,6740466.429,1.3208801
1039,0.118386,60.79878651,-138.6459868,25472.69361,6740466.429,1.0509
1040,0.0908146,60.79878009,-138.6441496,25572.69361,6740466.429,1.2632999
1041,0.0211975,60.79877365,-138.6423123,25672.69361,6740466.429,2.2681601
1042,0.0022437,60.79869442,-138.6202655,26872.69361,6740466.429,1.14227
1043,0.003995,60.79868765,-138.6184283,26972.69361,6740466.429,1.25331
1044,0.0116557,60.79868086,-138.6165911,27072.69361,6740466.429,1.73906
1045,0.0345991,60.79867405,-138.6147538,27172.69361,6740466.429,2.1487801
1046,0.0689421,60.79866721,-138.6129166,27272.69361,6740466.429,1.50453
1047,0.0901773,60.79866034,-138.6110794,27372.69361,6740466.429,1.26923
1048,0.117833,60.79865345,-138.6092422,27472.69361,6740466.429,1.05446
1049,0.179349,60.79864653,-138.6074049,27572.69361,6740466.429,0.766106
1050,0.237674,60.79863959,-138.6055677,27672.69361,6740466.429,0.608368
1051,0.263602,60.79863262,-138.6037305,27772.69361,6740466.429,0.557355
1052,0.248848,60.79862563,-138.6018933,27872.69361,6740466.429,0.585283
1053,0.217813,60.79861861,-138.6000561,27972.69361,6740466.429,0.654239
1054,0.225127,60.79861157,-138.5982188,28072.69361,6740466.429,0.636565
1055,0.248689,60.7986045,-138.5963816,28172.69361,6740466.429,0.585599
1056,0.151019,60.79859741,-138.5945444,28272.69361,6740466.429,0.876489
1057,0.140353,60.79859029,-138.5927072,28372.69361,6740466.429,0.926759
1058,0.156461,60.79858315,-138.59087,28472.69361,6740466.429,0.852882
1059,0.179514,60.79857598,-138.5890328,28572.69361,6740466.429,0.765543
1060,0.276568,60.79856879,-138.5871956,28672.69361,6740466.429,0.534924
1061,0.340954,60.79856157,-138.5853583,28772.69361,6740466.429,0.445826
1062,0.302443,60.79855433,-138.5835211,28872.69361,6740466.429,0.495155
1063,0.264542,60.79854706,-138.5816839,28972.69361,6740466.429,0.555667
1064,0.188863,60.79853976,-138.5798467,29072.69361,6740466.429,0.735018
1065,0.12744,60.79853244,-138.5780095,29172.69361,6740466.429,0.995921
1066,0.133364,60.7985251,-138.5761723,29272.69361,6740466.429,0.962951
1067,0.213877,60.79851773,-138.5743351,29372.69361,6740466.429,0.664161
1068,0.182262,60.79851034,-138.5724979,29472.69361,6740466.429,0.756313
1069,0.178486,60.79850292,-138.5706607,29572.69361,6740466.429,0.769056
1070,0.167123,60.79849547,-138.5688235,29672.69361,6740466.429,0.810135
1071,0.957814,60.79844266,-138.5559631,30372.69361,6740466.429,0.17175
1072,3,60.79817738,-138.7378604,20472.69361,6740366.429,0.0565855
1073,3,60.79817222,-138.7360232,20572.69361,6740366.429,0.0565855
1074,2.41663,60.79816703,-138.7341859,20672.69361,6740366.429,0.069992
1075,0.651475,60.79816183,-138.7323487,20772.69361,6740366.429,0.247228
1076,0.550021,60.79815659,-138.7305115,20872.69361,6740366.429,0.289338
1077,0.462488,60.79815134,-138.7286743,20972.69361,6740366.429,0.339185
1078,0.210872,60.79814605,-138.726837,21072.69361,6740366.429,0.671945
1079,0.0786035,60.79814074,-138.7249998,21172.69361,6740366.429,1.3875
1080,0.0071254,60.79806379,-138.6992788,22572.69361,6740366.429,1.45181
1081,0.0094153,60.79805811,-138.6974416,22672.69361,6740366.429,1.59701
1082,0.0130346,60.79805239,-138.6956043,22772.69361,6740366.429,1.8265001
1083,0.0162931,60.79804666,-138.6937671,22872.69361,6740366.429,2.0331099
1084,0.0223071,60.7980409,-138.6919299,22972.69361,6740366.429,2.2681601
1085,0.0358339,60.79803511,-138.6900927,23072.69361,6740366.429,2.1162
1086,0.0555371,60.7980293,-138.6882555,23172.69361,6740366.429,1.70394
1087,0.0675211,60.79802347,-138.6864183,23272.69361,6740366.429,1.52343
1088,0.0767389,60.79801761,-138.6845811,23372.69361,6740366.429,1.40865
1089,0.0618291,60.79801172,-138.6827439,23472.69361,6740366.429,1.6041501
1090,0.0545149,60.79800581,-138.6809067,23572.69361,6740366.429,1.7213399
1091,0.0498721,60.79799987,-138.6790695,23672.69361,6740366.429,1.80504
1092,0.0365898,60.79799391,-138.6772323,23772.69361,6740366.429,2.09674
1093,0.0444756,60.79798792,-138.6753951,23872.69361,6740366.429,1.91318
1094,0.0519548,60.79798191,-138.6735579,23972.69361,6740366.429,1.76651
1095,0.0686879,60.79797587,-138.6717207,24072.69361,6740366.429,1.50788
1096,0.0923146,60.79796981,-138.6698835,24172.69361,6740366.429,1.24956
1097,0.0815502,60.79796372,-138.6680463,24272.69361,6740366.429,1.35535
